"Sample code","Chimp ID","A_1","A_2","B_1","B_2","C_1","C_2","D_1","D_2","1_1","1_2","2_1","2_2","3_1","3_2","4_1","4_2"
168,"Yolanda","157-b","161-a","196-a","200-a","180-a","185-b","297-b","301-b","242-a","242-a","310-a","326-a","234-a","238-a","286-a","294-a"
181,"Beethoven","141-a","157-a","200-a","204-a","189-a","189-a","301-a","301-a","242-a","259-a","318-a","322-a","234-a","238-a","286-a","294-a"
218,"Aqua","157-a","173-a","203-a","235-a","181-a","189-b","293-a","297-c","255-a","259-a","310-a","322-a","226-a","234-a","286-a","295-a"
240,"Haiki","141-a","177-a","203-a","235-a","181-b","181-a","293-a","297-a","231-a","255-a","322-a","330-a","230-a","246-b","270-a","286-a"
247,"Ch-085","141-a","161-a","196-a","196-a","185-a","189-a","293-a","301-a","242-a","255-a","318-a","322-a","222-a","238-a","286-a","286-a"
337,"Skosha","173-a","173-a","196-a","196-a","157-a","180-a","293-a","297-a","259-a","259-a","318-a","322-a","234-a","234-a","295-a","295-a"
646,"Goblin","161-a","173-a","196-a","235-a","189-b","189-a","300-a","305-a","246-a","259-a","322-a","326-a","234-b","234-a","270-a","278-a"
661,"Malaika","161-a","177-a","203-a","203-a","181-a","185-a","293-a","301-b","231-a","259-a","310-a","322-a","230-a","234-a","270-a","286-a"
667,"Patti","153-a","173-a","196-a","200-a","189-b","189-a","267-a","301-a","242-a","263-a","302-a","310-a","234-a","246-a","270-a","295-a"
715,"Echo","141-a","177-a","196-a","196-a","185-c","189-a","288-a","297-a","247-a","247-a","322-a","322-a","222-a","238-a","270-a","278-a"
863,"Sherehe","157-a","173-a","200-a","231-a","185-b","189-a","301-a","301-a","242-a","259-a","302-a","318-a","234-a","238-a","286-a","295-a"
981,"Gimble","141-a","161-a","203-a","235-a","189-b","189-a","300-a","301-a","242-a","259-a","302-a","318-a","226-b","234-a","278-a","286-a"
1164,"Candy","141-a","153-a","196-a","231-a","180-a","189-a","288-a","301-a","242-a","247-a","318-a","322-a","238-a","238-a","270-a","294-a"
1212,"Cocoa","153-a","157-a","196-a","200-a","180-a","180-a","288-a","301-a","242-a","254-a","318-a","322-a","226-a","238-a","294-a","294-a"
1320,"Titania","141-a","157-a","200-a","231-a","180-a","189-a","284-a","300-a","242-a","259-a","310-a","326-b","222-a","246-a","286-a","286-a"
1393,"Gremlin","141-a","161-a","203-a","235-a","180-a","189-a","284-a","305-a","242-a","255-a","302-a","318-a","234-a","238-a","278-a","295-a"
1532,"Patina","141-a","161-a","200-a","204-a","180-a","189-a","297-a","301-a","254-a","259-a","322-a","326-b","226-a","234-c","286-a","295-a"
1542,"Ch-106","141-a","177-a","196-a","203-a","181-a","189-a","297-c","300-a","235-a","255-a","310-a","322-a","230-a","234-c","294-a","295-a"
1648,"Sheldon","141-a","161-a","196-a","200-a","185-b","185-c","284-a","288-a","242-a","251-a","318-a","322-a","234-c","234-b","294-a","295-a"
1660,"Lucy","141-a","153-a","200-a","204-a","180-a","180-a","267-a","301-a","231-a","242-a","318-a","322-a","222-a","234-a","278-a","286-a"
1703,"Sandi","157-a","173-a","231-a","231-a","185-b","189-a","284-a","301-a","242-a","266-a","302-a","302-a","234-b","234-a","295-a","295-a"
1705,"Ch-109","141-a","161-a","200-a","200-a","180-a","189-a","285-a","301-a","254-a","255-a","302-a","318-a","234-c","238-a","278-a","295-a"
1709,"Kris","141-a","141-a","196-a","231-a","180-a","189-a","288-a","301-a","242-a","255-a","302-a","322-a","238-a","238-a","286-a","294-a"
1720,"Darbee","157-a","173-a","231-a","235-a","185-a","189-b","285-a","300-a","255-a","255-a","302-a","322-a","234-b","234-d","294-a","295-a"
1740,"Lutana","141-a","177-a","203-a","231-a","181-a","189-b","288-a","297-a","255-a","258-b","318-a","330-a","238-a","246-b","270-a","286-a"
1752,"Frodo","141-a","173-a","200-a","203-a","180-a","193-a","301-a","301-a","247-a","254-a","302-a","322-a","226-a","234-a","278-a","286-a"
1827,"Hope","141-a","161-a","235-a","235-a","189-a","189-a","284-a","300-a","247-a","247-a","302-a","302-a","234-a","238-a","270-a","295-a"
1903,"Eva","141-a","153-a","196-a","235-a","189-b","189-b","297-a","301-a","258-a","266-a","302-a","322-a","234-b","234-a","295-a","295-a"
2142,"Baroza","141-a","141-a","203-a","231-a","185-b","189-a","288-a","297-c","255-a","259-a","322-a","322-a","222-a","238-a","286-a","286-a"
2297,"Safi","141-a","153-a","196-a","235-a","157-a","185-a","297-b","297-a","242-a","255-a","318-a","322-a","242-a","246-a","270-a","286-a"
2376,"Google","141-a","161-a","200-a","235-a","180-a","189-a","284-a","301-a","246-a","259-a","318-a","318-a","238-a","238-a","282-a","295-a"
2445,"Tubi","141-a","157-a","203-a","203-a","185-a","189-a","267-a","293-a","247-a","255-a","302-a","310-a","234-a","246-a","286-a","294-a"
2589,"Londo","141-a","161-a","196-a","200-a","180-a","189-b","301-a","301-a","247-a","247-a","302-a","318-a","234-a","238-b","295-a","295-a"
2597,"Ferdinand","141-a","161-a","200-a","235-a","180-a","193-a","284-a","301-a","254-a","259-a","322-a","322-a","234-a","238-a","278-a","286-a"
2641,"Ch-095","141-a","177-a","200-a","204-a","185-c","185-a","301-b","305-a","247-a","259-a","310-a","330-a","238-a","246-b","282-a","294-a"
2665,"Maybee","157-a","173-a","231-a","235-a","185-a","189-a","300-a","300-a","242-a","255-a","322-a","322-a","230-a","234-d","295-a","295-a"
2673,"Apollo","141-a","141-a","196-a","235-a","157-a","189-a","297-a","297-a","255-a","259-a","322-a","322-a","234-a","242-a","270-a","294-a"
2736,"Mambo","161-a","161-a","203-a","235-a","185-a","189-a","301-b","301-a","242-a","259-a","302-a","310-a","234-a","234-a","270-a","286-a"
2906,"Familia","141-a","161-a","200-a","200-a","185-c","189-a","284-a","301-a","242-a","259-a","322-a","322-a","234-b","234-b","278-a","294-a"
2935,"Bima","141-a","153-a","200-a","203-a","185-b","185-b","285-a","297-c","247-b","259-a","310-a","322-a","234-b","234-a","286-a","295-a"
3001,"Aris","173-a","173-a","200-a","235-a","189-b","189-a","293-a","301-a","242-a","250-a","302-a","322-a","226-a","230-a","286-a","295-a"
3011,"Titan","173-a","173-a","200-a","203-a","189-a","193-a","267-a","301-a","254-a","263-a","302-a","310-a","234-a","234-a","270-a","286-a"
3016,"Yamaha","157-b","161-a","200-a","203-a","180-a","185-a","297-b","301-b","242-a","246-a","318-a","326-a","234-a","246-a","294-a","295-a"
3046,"Zella","141-a","141-a","196-a","204-a","180-a","185-a","288-a","305-a","247-a","255-a","302-a","310-a","238-a","238-a","294-a","294-a"
3049,"Zinda","141-a","161-a","203-a","204-a","185-c","189-a","301-a","305-a","242-a","259-a","318-a","330-a","234-a","246-b","278-a","294-a"
3096,"Diaz","141-a","161-a","204-a","235-a","180-a","180-a","300-a","301-a","254-a","255-a","322-a","322-a","234-a","234-a","278-a","294-a"
3097,"Sampson","141-a","157-a","231-a","235-a","157-a","185-b","284-a","297-a","242-a","255-a","302-a","322-a","234-b","242-a","294-a","295-a"
3162,"Mgani","141-a","157-a","235-a","235-a","180-a","189-b","297-a","301-a","255-a","258-b","302-a","318-a","238-a","238-a","286-a","295-a"
3165,"Loretta","141-a","161-a","196-a","203-a","181-a","189-b","301-a","301-a","247-a","247-a","318-a","322-a","234-a","234-a","295-a","295-a"
3171,"Glama","161-a","173-a","200-a","200-a","180-a","185-c","305-a","305-a","254-a","255-a","302-a","326-a","234-c","234-a","278-a","278-a"
3224,"Fede","141-a","141-a","196-a","235-a","189-b","193-a","305-b","305-a","242-a","254-a","302-a","326-a","234-b","234-a","278-a","278-a"
3250,"Kipara","153-a","157-a","203-a","235-a","185-c","189-b","288-a","297-a","255-a","266-a","302-a","302-a","230-a","234-b","286-a","286-a"
3280,"Fudge","141-a","161-a","200-a","200-a","185-c","189-a","288-a","305-a","251-a","254-a","318-a","326-a","234-c","234-b","278-a","294-a"
3333,"Zeus","141-a","173-a","200-a","204-a","185-c","193-a","301-b","301-a","247-a","247-a","302-a","310-a","234-a","238-a","278-a","294-a"
3348,"Edgar","141-a","141-a","196-a","235-a","185-b","189-b","297-a","305-b","254-a","258-a","302-a","302-a","230-a","234-b","278-a","295-a"
3380,"Forest","141-a","141-a","231-a","235-a","189-b","189-a","300-a","305-a","242-a","247-a","322-a","330-a","226-a","234-a","278-a","294-a"
3390,"Wilkie","153-a","161-a","203-a","235-a","180-a","185-a","284-a","297-b","246-a","259-a","318-a","322-a","234-a","246-a","282-a","295-a"
3402,"Golden","141-a","173-a","200-a","203-a","180-a","193-a","301-a","305-a","247-a","255-a","302-a","302-a","234-a","234-a","278-a","278-a"
3452,"Sindbad","157-a","173-a","203-a","231-a","180-a","193-a","284-a","301-a","247-a","251-a","302-a","302-a","234-b","234-a","278-a","295-a"
3453,"Rudi","161-a","173-a","231-a","235-a","185-a","189-a","301-a","305-b","242-a","246-a","302-a","322-a","230-a","234-a","278-a","295-a"
3505,"Nasa","157-b","161-a","196-a","196-a","180-a","181-a","284-a","293-a","242-a","259-a","318-a","326-b","226-a","238-a","286-a","294-a"
3524,"Apple","161-a","173-a","200-a","203-a","180-a","189-b","293-a","297-a","255-a","259-a","302-a","322-a","234-c","238-a","282-a","295-a"
3533,"Lutata","141-a","141-a","204-a","235-a","180-a","189-b","297-a","301-a","231-a","258-a","302-a","318-a","222-a","230-a","278-a","286-a"
3705,"Tarzan","141-a","173-a","200-a","200-a","180-a","189-b","267-a","301-a","242-a","254-a","302-a","322-a","226-a","246-a","278-a","295-a"
3731,"Freud","141-a","157-a","196-a","200-a","180-a","193-a","300-a","301-a","247-b","254-a","302-a","322-a","226-a","234-a","278-a","294-a"
3746,"Gossman","141-a","141-a","196-a","203-a","185-b","189-a","288-a","301-a","242-a","242-a","302-a","322-a","234-b","234-a","278-a","286-a"
3785,"Nuru","141-a","141-a","204-a","235-a","189-b","189-a","288-a","301-a","242-a","259-a","322-a","322-a","226-a","234-d","286-a","286-a"
3806,"Chema","157-a","157-a","231-a","235-a","157-a","189-a","267-a","301-a","255-a","258-a","318-a","322-a","234-a","246-b","270-a","286-a"
3807,"Duke","141-a","173-a","200-a","231-b","189-a","193-a","300-a","301-a","242-a","254-a","310-a","322-a","234-a","234-a","270-a","294-a"
3816,"Fifti","161-a","173-a","196-a","235-a","185-a","189-a","284-a","305-a","246-a","259-a","318-a","322-a","226-a","234-a","278-a","295-a"
3824,"Pax","141-a","161-a","235-a","235-a","180-a","189-a","284-a","297-c","242-a","254-a","302-a","326-b","234-a","234-a","278-a","286-a"
3836,"Gaia","141-a","161-a","235-a","235-a","180-a","189-a","284-a","297-b","255-a","259-a","318-a","322-a","234-a","238-a","278-a","282-a"
3848,"Schweini","153-a","161-a","196-a","235-a","185-b","185-a","284-a","297-b","242-a","246-a","318-a","318-a","234-a","246-a","282-a","286-a"
3859,"Falida","141-a","141-a","196-a","204-a","189-b","193-a","297-a","305-b","242-a","258-a","302-a","326-a","234-b","234-a","278-a","278-a"
3861,"Aphro","141-a","173-a","200-a","235-a","189-b","189-b","285-a","293-a","250-a","255-a","302-a","322-a","226-a","234-c","286-a","295-a"
3874,"Dilly","141-a","161-a","204-a","231-b","180-a","189-a","300-a","301-a","242-a","255-a","322-a","322-a","234-a","238-a","286-a","294-a"
3879,"Ipo","153-a","173-a","196-a","235-a","180-a","189-a","297-b","301-a","242-a","259-a","318-a","322-a","222-a","234-a","278-a","282-a"
3884,"Eliza","141-a","141-a","235-a","235-a","157-a","180-a","297-a","300-a","255-a","255-a","322-a","322-a","226-a","230-a","286-a","295-a"
3885,"Sparrow","157-a","161-a","196-a","231-a","180-a","185-b","284-a","301-a","242-a","251-a","302-a","318-a","234-b","246-a","286-a","295-a"
3903,"Jiffy","141-a","161-a","231-a","235-a","189-b","189-a","284-a","301-a","247-a","258-a","302-a","302-a","234-a","238-a","295-a","295-a"
3908,"Flossi","141-a","161-a","204-a","235-a","189-b","193-a","297-a","305-a","242-a","259-a","322-a","326-a","226-a","234-a","278-a","278-a"
3953,"Pamera","141-a","161-a","196-a","200-a","189-a","189-a","297-a","301-a","254-a","255-a","322-a","322-a","234-c","238-a","286-a","295-a"
3955,"Porosa","161-a","173-a","231-a","231-a","180-a","180-a","285-a","293-a","259-a","266-b","310-a","322-a","226-a","238-a","282-a","294-a"
3958,"Vanilla","141-a","157-a","203-a","203-a","180-a","185-b","297-c","297-a","242-a","259-a","310-a","322-a","234-a","242-a","278-a","294-a"
3961,"Losa","141-a","161-a","196-a","231-a","181-a","185-a","301-a","305-b","246-a","247-a","322-a","322-a","234-a","234-a","295-a","295-a"
3966,"Gimli","141-a","161-a","203-a","203-a","180-a","185-a","284-a","293-a","242-a","255-a","302-a","318-a","234-a","246-a","278-a","286-a"
3973,"Baseke","153-a","173-a","203-a","203-a","185-b","193-a","285-a","301-a","254-a","259-a","302-a","322-a","222-a","234-a","270-a","294-a"
3974,"Bahati","141-a","153-a","203-a","203-a","185-b","185-b","285-a","297-c","247-b","259-a","322-a","322-a","222-a","234-b","286-a","294-a"
3978,"Imani","141-a","173-a","196-a","196-a","189-a","189-a","288-a","301-a","242-a","247-a","318-a","322-a","222-a","226-a","278-a","286-a"
3993,"Faustino","141-a","161-a","200-a","235-a","180-a","180-a","284-a","301-a","246-a","254-a","318-a","322-a","234-a","238-a","278-a","295-a"
3996,"Eowyn","161-a","177-a","196-a","196-a","189-a","189-a","288-a","301-a","242-a","247-a","318-a","322-a","222-a","238-a","278-a","286-a"
4000,"Flirt","141-a","173-a","196-a","200-a","180-a","193-a","297-a","301-a","242-a","242-a","302-a","322-a","238-a","238-a","294-a","294-a"
4001,"Wema","141-a","157-a","231-a","235-a","189-b","189-a","267-a","293-a","254-a","255-a","302-a","310-a","226-a","234-a","270-a","295-a"
4004,"Tanga","161-a","173-a","196-a","200-a","189-b","189-a","301-a","305-a","242-a","259-a","302-a","326-a","234-b","246-a","270-a","278-a"
4063,"Pairotti_Poa","141-a","173-a","196-a","231-a","157-a","180-a","293-a","293-a","259-a","266-b","302-a","310-a","234-a","238-a","294-a","295-a"
4109,"Nyota","141-a","161-a","200-a","235-a","185-c","189-b","288-a","301-a","242-a","254-a","322-a","326-a","234-c","234-d","286-a","294-a"
4113,"Samwise","141-a","173-a","203-a","231-a","185-b","193-a","301-a","301-a","247-a","266-a","302-a","302-a","226-a","234-b","286-a","295-a"
4118,"Sifa","141-a","161-a","196-a","196-a","180-a","189-a","293-a","301-a","242-a","259-a","302-a","310-a","234-a","238-a","286-a","295-a"
4152,"Fadhila","141-a","161-a","200-a","235-a","180-a","189-a","284-a","301-a","259-a","259-a","322-a","322-a","234-b","234-a","278-a","282-a"
4180,"Otali","153-a","161-a","235-a","235-a","180-a","185-a","301-a","301-a","242-a","247-a","302-a","322-a","230-a","238-a","270-a","295-a"
4195,"Komoa","161-a","177-a","235-a","235-a","180-a","189-a","305-b","305-b","242-a","255-a","302-a","334-a","230-a","246-a","278-a","295-a"
4196,"Gizmo","141-a","161-a","200-a","235-a","180-a","180-a","284-a","301-a","242-a","254-a","302-a","322-a","234-a","238-a","278-a","278-a"
4204,"Kocha","141-a","161-a","200-a","235-a","180-a","180-a","301-a","305-b","255-a","259-a","322-a","334-a","238-b","246-a","270-a","278-a"
4205,"Misheli","141-a","157-a","235-a","235-a","189-b","189-b","297-a","301-a","254-a","255-a","302-a","318-a","230-a","238-a","295-a","295-a"
4206,"Tabora","141-a","173-a","196-a","235-a","180-a","189-a","284-a","305-a","242-a","254-a","322-a","326-a","234-b","234-a","278-a","286-a"
4211,"Makiwa","141-a","177-a","203-a","231-a","181-a","189-b","288-a","297-a","255-a","258-b","318-a","330-a","238-a","246-b","270-a","286-a"
4219,"Fansi","141-a","161-a","200-a","235-a","180-a","193-a","267-a","305-a","242-a","259-a","322-a","326-b","226-a","234-a","278-a","282-a"
4220,"Eden","141-a","141-a","200-a","235-a","180-a","189-b","267-a","301-a","255-a","266-a","302-a","322-a","234-a","234-a","286-a","295-a"
4223,"Kati (Tita)","153-a","161-a","200-a","203-a","180-a","189-a","267-a","284-a","259-a","263-a","310-a","322-a","238-a","246-a","286-a","295-a"
4234,"Fundi","141-a","161-a","196-a","200-a","185-b","189-a","288-a","305-a","242-a","254-a","322-a","322-a","234-b","234-b","278-a","294-a"
4239,"Fanni","141-a","173-a","196-a","200-a","189-a","193-a","301-a","305-a","254-a","259-a","322-a","326-a","226-a","234-b","278-a","278-a"
4247,"Trezia","141-a","141-a","200-a","204-a","185-c","185-a","301-b","305-a","247-a","259-a","310-a","330-a","238-a","246-b","282-a","294-a"
4249,"Rumumba","153-a","161-a","200-a","200-a","180-a","180-a","267-a","297-a","231-a","259-a","318-a","326-b","234-a","238-b","278-a","286-a"
4346,"Shwali","153-a","173-a","196-a","200-a","185-b","189-a","297-b","301-a","242-a","263-a","310-a","318-a","234-a","234-a","286-a","286-a"
4443,"Glitter","141-a","173-a","203-a","203-a","180-a","189-a","284-a","301-a","242-a","254-a","302-a","322-a","226-a","234-a","278-a","286-a"
4448,"Siri","141-a","157-a","196-a","231-a","189-a","189-a","284-a","297-a","259-a","266-a","302-a","322-a","234-a","234-a","270-a","295-a"
4475,"Flower","141-a","173-a","235-a","235-a","189-b","189-a","305-b","305-a","242-a","246-a","322-a","322-a","230-a","234-a","278-a","278-a"
4515,"Bibi","141-a","153-a","203-a","235-a","185-b","189-b","285-a","297-a","247-b","254-a","302-a","322-a","230-a","234-a","286-a","295-a"
4517,"Lamba","153-a","161-a","200-a","203-a","180-a","180-a","267-a","267-a","231-a","255-a","318-a","322-a","222-a","234-a","278-a","286-a"
4519,"Konyagi","161-a","177-a","200-a","235-a","180-a","189-a","305-b","305-b","255-a","259-a","310-b","334-a","230-b","246-a","270-a","295-a"
4522,"Tom","141-a","161-a","196-a","231-a","189-a","189-a","288-a","301-a","255-a","259-a","302-a","322-a","238-a","246-a","270-a","294-a"
4528,"Keaton","153-a","161-a","203-a","203-a","185-a","189-b","284-a","297-a","259-a","266-a","302-a","322-a","230-a","246-a","286-a","295-a"
4534,"Kazi","141-a","153-a","196-a","200-a","181-a","189-a","267-a","293-a","242-a","263-a","318-a","322-a","234-a","238-a","286-a","295-a"
